is_premium,is_mid,is_budget,location_score,is_spring,is_active_market,location_size_interaction,price_per_sqm,location_code,unit_price_py,is_modern,land_area_sqm,building_age,is_gangnam,market_activity,location_score_sq,price_per_sqm_sqrt,cluster_id,cluster_avg_price,cluster_price_std,price_quartile,location_quartile,gangnam_modern,location_premium
0,0,1,70.0,0,1,0.924,321862.3481781377,0.0,1064007.7625723558,0,741.0,11,0,5,4900.0,567.3300169902327,0,1379386778.982379,1152692162.284876,0,0,0,0.0
0,0,1,70.0,0,1,10.57525,78296.7032967033,0.0,258832.0770138952,0,7280.0,25,0,5,4900.0,279.8172676885815,0,1379386778.982379,1152692162.284876,0,0,0,0.0
0,1,0,70.0,1,1,4.979099999999999,437428.6801065044,0.0,1446045.2234925765,0,2629.0,14,0,5,4900.0,661.3846687870112,0,1379386778.982379,1152692162.284876,2,3,0,0.0
0,1,0,70.0,0,1,3.83775,188701.4978181389,0.0,623806.604357484,0,4239.5,22,0,5,4900.0,434.3990076164296,0,1379386778.982379,1152692162.284876,1,2,0,0.0
0,1,0,70.0,1,1,6.80435,982102.4868123588,0.0,3246619.791115235,0,1327.0,46,0,5,4900.0,991.0113454508777,0,1379386778.982379,1152692162.284876,2,1,0,0.0
0,1,0,70.0,0,1,4.30892,1277584.204413473,0.0,4223418.857565199,0,861.0,26,0,5,4900.0,1130.3031471306592,0,1379386778.982379,1152692162.284876,1,0,0,0.0
0,1,0,70.0,0,1,3.48229,1614349.7757847533,0.0,5336693.473668606,0,1338.0,45,0,5,4900.0,1270.5710431867842,0,1379386778.982379,1152692162.284876,2,3,0,0.0
0,1,0,70.0,0,1,2.57103,867069.4864048338,0.0,2866345.4096027566,0,1655.0,46,0,5,4900.0,931.1661969835642,0,1379386778.982379,1152692162.284876,2,2,0,0.0
0,1,0,70.0,0,1,2.88736,920245.3987730062,0.0,3042133.5496628303,0,815.0,41,0,5,4900.0,959.2947403030031,0,1379386778.982379,1152692162.284876,1,0,0,0.0
0,1,0,70.0,1,1,4.158,910118.7111362352,0.0,3008656.896318133,0,1769.0,36,0,10,4900.0,954.0019450379727,0,1379386778.982379,1152692162.284876,2,1,0,0.0
1,0,0,70.0,0,1,1.386,1144153.2258064516,0.0,3782324.7134097577,0,1984.0,11,0,10,4900.0,1069.651450616719,0,1379386778.982379,1152692162.284876,3,3,0,0.7
0,1,0,70.0,1,1,5.45944,1303735.0246652572,0.0,4309867.850133082,0,1419.0,21,0,10,4900.0,1141.8126048810536,0,1379386778.982379,1152692162.284876,2,2,0,0.0
0,1,0,70.0,0,1,3.34292,1221532.0910973086,0.0,4038122.6151977135,0,966.0,18,0,10,4900.0,1105.2298815618897,0,1379386778.982379,1152692162.284876,2,0,0,0.0
0,1,0,70.0,0,1,2.6593,3302458.279595107,0.0,10917217.453206964,0,255.87,1,0,10,4900.0,1817.2669808245312,0,1379386778.982379,1152692162.284876,1,0,0,0.0
0,1,0,70.0,0,1,2.62248,1130573.2484076433,0.0,3737432.2261409694,0,1256.0,25,0,10,4900.0,1063.284650696907,0,1379386778.982379,1152692162.284876,2,1,0,0.0
0,1,0,70.0,0,0,5.207999999999999,908634.5381526104,0.0,3003750.539347472,0,1992.0,11,0,1,4900.0,953.2237607994308,0,1379386778.982379,1152692162.284876,2,2,0,0.0
0,1,0,70.0,0,0,6.257999999999999,872600.3490401396,0.0,2884629.253025255,0,1719.0,11,0,1,4900.0,934.1313339355123,0,1379386778.982379,1152692162.284876,2,2,0,0.0
0,1,0,70.0,0,1,6.93,761820.5988671727,0.0,2518415.2028666874,1,2625.29,8,0,5,4900.0,872.8239220296226,0,1379386778.982379,1152692162.284876,2,0,0,0.0
0,1,0,70.0,0,1,4.095,857952.2460542291,0.0,2836205.7720800964,1,2471.0,3,0,43,4900.0,926.2576564078859,0,1379386778.982379,1152692162.284876,2,3,0,0.0
0,1,0,70.0,0,1,7.26523,622083.9813374806,0.0,2056475.971363572,0,2572.0,19,0,43,4900.0,788.7236406609609,0,1379386778.982379,1152692162.284876,2,2,0,0.0
